"FITC-A","BB630-A","BB700-P-A","APC-A","Alexa Fluor 700-A","APC-Cy7-A","BV421-A","BV480-A","BV605-A","BV650-A","BV711-A","BV750-P-A","BV786-A","BUV395-A","BUV496-A","BUV563-A","BUV615-P-A","BUV661-A","BUV737-A","BUV805-A","PE-A","PE-CF594-A","PE-Cy5-A","PE-Cy7-A"
1,0.200632,0.0592911,0.00124189,0.00376862,-2.17779e-05,0.0076722,0.00438721,0.0141786,0.00692972,0.00555557,0.00265025,0.00109782,0.00347662,0.046481,0.025171,0.0137909,0.00641827,0.00365865,0.00161502,0.00696757,0.00201741,0.00143387,0.0011699
0.649246,1,0.792307,0.249188,0.735028,0.0938083,1.0564,0.617336,0.845295,0.736045,0.775159,0.525254,0.5372,0.428582,0.834904,0.833797,0.820234,0.647437,0.614936,0.565199,0.907187,0.0989326,0.457812,0.471442
-0.002,0,1,0.166,0.826,0.102,0,0,-0.006,0.236,0.58,0.224,0.176,-0.001,0,-0.002,-0.002,0.114,0.14,0.056,0,-0.002,0.4,0.216
-0.000168514,-1.93657e-05,0.00862045,1,1.13458,0.16,0.000125683,0.000193091,0.000373804,0.0651977,0.0336195,0.025224,0.013817,0.00102732,0.000780576,0.000708177,0.00135946,0.0829181,0.0478666,0.0202681,0.000246915,0.00303052,0.356103,0.0684419
-0.001175,-0.00125848,0.00193851,0.0155837,1,0.243074,-0.00224118,-0.00204492,-0.00154464,-0.00117891,0.00838542,0.0122709,0.00758431,-1.94659e-05,-0.000792014,-0.000945796,-0.000959614,-0.00047034,0.0465623,0.0386906,-0.00214103,-0.00122012,-0.000331272,0.0247639
-0.000672716,-0.000902529,-0.000582829,0.00963414,0.0292981,1,-0.00208749,-0.00123547,-0.000877553,-0.000119103,-0.000109129,0.00353551,0.105929,-0.000874687,-0.0010992,-0.00105317,-0.000815424,1.20181e-05,0.0101783,0.266617,-0.0015269,-0.000364091,0.00196169,0.345903
-0.000347247,-0.000571883,-0.000575313,-0.000264495,-0.000687276,-5.67448e-05,1,0.183951,0.00195165,0.000586052,0.000584222,0.000494194,0.000772311,-0.000594652,0.0113433,0.00112166,0.000254939,-0.000199518,-0.000185631,1.36997e-05,-0.00105991,-0.000457145,-0.00024424,-0.000414739
0.0265,0.01177,0.00671796,0.00172209,0.00488076,0.00114819,0.019889,1,0.131515,0.0551761,0.0422823,0.0172295,0.0122224,0,0.149352,0.0540115,0.0331562,0.0156164,0.00823104,0.0046226,0.0044,0,0.00240731,0.00220131
0.004,0.083565,0.0653231,0.00851777,0.0189037,0.00287855,0.104624,0.0291638,1,0.803598,0.633818,0.326395,0.232106,0.0033,0.0131566,0.161191,0.352629,0.2838,0.17494,0.0965761,0.920502,0.915647,0.628074,0.159779
0.0065,0.0149596,0.0256753,0.267404,0.420761,0.0415567,0.0968303,0.0279785,0.132829,1,0.898725,0.366467,0.243716,0.005,0.0132886,0.0147527,0.0564913,0.362578,0.203808,0.0981521,0.0226822,0.0336575,0.201651,0.0485708
